province,period,sales_count,sale_type
Türkiye,2013-01-01,92594,toplam
Türkiye,2013-02-01,93757,toplam
Türkiye,2013-03-01,103357,toplam
Türkiye,2013-04-01,100759,toplam
Türkiye,2013-05-01,109363,toplam
Türkiye,2013-06-01,102471,toplam
Türkiye,2013-07-01,112910,toplam
Türkiye,2013-08-01,89589,toplam
Türkiye,2013-09-01,107841,toplam
Türkiye,2013-10-01,80961,toplam
Türkiye,2013-11-01,109455,toplam
Türkiye,2013-12-01,123932,toplam
Türkiye,2014-01-01,93777,toplam
Türkiye,2014-02-01,87515,toplam
Türkiye,2014-03-01,93045,toplam
Türkiye,2014-04-01,89012,toplam
Türkiye,2014-05-01,95337,toplam
Türkiye,2014-06-01,99021,toplam
Türkiye,2014-07-01,90707,toplam
Türkiye,2014-08-01,112147,toplam
Türkiye,2014-09-01,123358,toplam
Türkiye,2014-10-01,102083,toplam
Türkiye,2014-11-01,110397,toplam
Türkiye,2014-12-01,144515,toplam
Türkiye,2015-01-01,91891,toplam
Türkiye,2015-02-01,101459,toplam
Türkiye,2015-03-01,120664,toplam
Türkiye,2015-04-01,124185,toplam
Türkiye,2015-05-01,112337,toplam
Türkiye,2015-06-01,115386,toplam
Türkiye,2015-07-01,100342,toplam
Türkiye,2015-08-01,116928,toplam
Türkiye,2015-09-01,96351,toplam
Türkiye,2015-10-01,108144,toplam
Türkiye,2015-11-01,110554,toplam
Türkiye,2015-12-01,151081,toplam
Türkiye,2016-01-01,88231,toplam
Türkiye,2016-02-01,107060,toplam
Türkiye,2016-03-01,124044,toplam
Türkiye,2016-04-01,112238,toplam
Türkiye,2016-05-01,120555,toplam
Türkiye,2016-06-01,112122,toplam
Türkiye,2016-07-01,85345,toplam
Türkiye,2016-08-01,120460,toplam
Türkiye,2016-09-01,116019,toplam
Türkiye,2016-10-01,138268,toplam
Türkiye,2016-11-01,140685,toplam
Türkiye,2016-12-01,152008,toplam
Türkiye,2017-01-01,100023,toplam
Türkiye,2017-02-01,107065,toplam
Türkiye,2017-03-01,135987,toplam
Türkiye,2017-04-01,120361,toplam
Türkiye,2017-05-01,122262,toplam
Türkiye,2017-06-01,102615,toplam
Türkiye,2017-07-01,122198,toplam
Türkiye,2017-08-01,127135,toplam
Türkiye,2017-09-01,153521,toplam
Türkiye,2017-10-01,130679,toplam
Türkiye,2017-11-01,130250,toplam
Türkiye,2017-12-01,140990,toplam
Türkiye,2018-01-01,103160,toplam
Türkiye,2018-02-01,101596,toplam
Türkiye,2018-03-01,116770,toplam
Türkiye,2018-04-01,109186,toplam
Türkiye,2018-05-01,128963,toplam
Türkiye,2018-06-01,126737,toplam
Türkiye,2018-07-01,131346,toplam
Türkiye,2018-08-01,111390,toplam
Türkiye,2018-09-01,135772,toplam
Türkiye,2018-10-01,160582,toplam
Türkiye,2018-11-01,95953,toplam
Türkiye,2018-12-01,146783,toplam
Türkiye,2019-01-01,77161,toplam
Türkiye,2019-02-01,83504,toplam
Türkiye,2019-03-01,114693,toplam
Türkiye,2019-04-01,103869,toplam
Türkiye,2019-05-01,97424,toplam
Türkiye,2019-06-01,64807,toplam
Türkiye,2019-07-01,107730,toplam
Türkiye,2019-08-01,116390,toplam
Türkiye,2019-09-01,155387,toplam
Türkiye,2019-10-01,154353,toplam
Türkiye,2019-11-01,148187,toplam
Türkiye,2019-12-01,215558,toplam
Türkiye,2020-01-01,120066,toplam
Türkiye,2020-02-01,125409,toplam
Türkiye,2020-03-01,114796,toplam
Türkiye,2020-04-01,45218,toplam
Türkiye,2020-05-01,55205,toplam
Türkiye,2020-06-01,204034,toplam
Türkiye,2020-07-01,244133,toplam
Türkiye,2020-08-01,181464,toplam
Türkiye,2020-09-01,145448,toplam
Türkiye,2020-10-01,127809,toplam
Türkiye,2020-11-01,125196,toplam
Türkiye,2020-12-01,119522,toplam
Türkiye,2021-01-01,75603,toplam
Türkiye,2021-02-01,88020,toplam
Türkiye,2021-03-01,120415,toplam
Türkiye,2021-04-01,102219,toplam
Türkiye,2021-05-01,65497,toplam
Türkiye,2021-06-01,145247,toplam
Türkiye,2021-07-01,115264,toplam
Türkiye,2021-08-01,151033,toplam
Türkiye,2021-09-01,157819,toplam
Türkiye,2021-10-01,152228,toplam
Türkiye,2021-11-01,192820,toplam
Türkiye,2021-12-01,243396,toplam
Türkiye,2022-01-01,93118,toplam
Türkiye,2022-02-01,103437,toplam
Türkiye,2022-03-01,145698,toplam
Türkiye,2022-04-01,150843,toplam
Türkiye,2022-05-01,132420,toplam
Türkiye,2022-06-01,161684,toplam
Türkiye,2022-07-01,99646,toplam
Türkiye,2022-08-01,131713,toplam
Türkiye,2022-09-01,124030,toplam
Türkiye,2022-10-01,127049,toplam
Türkiye,2022-11-01,130513,toplam
Türkiye,2022-12-01,225623,toplam
Türkiye,2023-01-01,102927,toplam
Türkiye,2023-02-01,84396,toplam
Türkiye,2023-03-01,111322,toplam
Türkiye,2023-04-01,92607,toplam
Türkiye,2023-05-01,133287,toplam
Türkiye,2023-06-01,90118,toplam
Türkiye,2023-07-01,117058,toplam
Türkiye,2023-08-01,132124,toplam
Türkiye,2023-09-01,110810,toplam
Türkiye,2023-10-01,106183,toplam
Türkiye,2023-11-01,100579,toplam
Türkiye,2023-12-01,148724,toplam
Türkiye,2024-01-01,84801,toplam
