province,period,tl_m2
Adana,2013-01-01,1136.0
Adana,2013-04-01,1179.0
Adana,2013-07-01,1188.0
Adana,2013-10-01,1250.0
Adana,2014-01-01,1376.5
Adana,2014-04-01,1406.9
Adana,2014-07-01,1470.2
Adana,2014-10-01,1564.7
Adana,2015-01-01,1593.5
Adana,2015-04-01,1661.3
Adana,2015-07-01,1700.0
Adana,2015-10-01,1805.6
Adana,2016-01-01,1776.4
Adana,2016-04-01,1860.3
Adana,2016-07-01,1947.8
Adana,2016-10-01,1970.8
Adana,2017-01-01,2078.7
Adana,2017-04-01,2090.7
Adana,2017-07-01,2142.7
Adana,2017-10-01,2165.7
Adana,2018-01-01,2184.6
Adana,2018-04-01,2255.9
Adana,2018-07-01,2240.2
Adana,2018-10-01,2226.7
Adana,2019-01-01,2210.0
Adana,2019-04-01,2196.1
Adana,2019-07-01,2321.5
Adana,2019-10-01,2368.8
Adana,2020-01-01,2528.9
Adana,2020-04-01,2734.5
Adana,2020-07-01,2904.3
Adana,2020-10-01,3036.5
Adana,2021-01-01,3248.1
Adana,2021-04-01,3427.9
Adana,2021-07-01,3846.5
Adana,2021-10-01,4615.8
Adana,2022-01-01,6423.4
Adana,2022-04-01,8590.9
Adana,2022-07-01,10874.1
Adana,2022-10-01,12733.6
Adana,2023-01-01,15197.5
Adana,2023-04-01,17987.1
Adana,2023-07-01,20091.8
Adana,2023-10-01,21658.5
Adana,2024-01-01,22067.9
Adana,2024-04-01,24906.3
Adana,2024-07-01,25291.7
Adana,2024-10-01,27568.1
Adana,2025-01-01,29769.0
Adana,2025-04-01,30582.1
Adana,2025-07-01,33877.6
Adana,2025-10-01,36682.3
Adana,2026-01-01,38368.8
Adana,2026-04-01,41051.3
Adıyaman,2013-01-01,749.0
Adıyaman,2013-04-01,777.0
Adıyaman,2013-07-01,775.0
Adıyaman,2013-10-01,816.0
Adıyaman,2014-01-01,872.0
Adıyaman,2014-04-01,902.0
Adıyaman,2014-07-01,929.0
Adıyaman,2014-10-01,944.0
Adıyaman,2015-01-01,1000.0
Adıyaman,2015-04-01,1077.0
Adıyaman,2015-07-01,1000.0
Adıyaman,2015-10-01,1118.5
Adıyaman,2016-01-01,1131.0
Adıyaman,2016-04-01,1178.5
Adıyaman,2016-07-01,1200.0
Adıyaman,2016-10-01,1250.0
Adıyaman,2017-01-01,1250.0
Adıyaman,2017-04-01,1289.0
Adıyaman,2017-07-01,1287.0
Adıyaman,2017-10-01,1301.0
Adıyaman,2018-01-01,1351.0
Adıyaman,2018-04-01,1404.0
Adıyaman,2018-07-01,1517.0
Adıyaman,2018-10-01,1433.0
Adıyaman,2019-01-01,1553.0
Adıyaman,2019-04-01,1548.0
Adıyaman,2019-07-01,1618.5
Adıyaman,2019-10-01,1636.0
Adıyaman,2020-01-01,1687.0
Adıyaman,2020-04-01,1887.0
Adıyaman,2020-07-01,2000.0
Adıyaman,2020-10-01,2038.0
Adıyaman,2021-01-01,2429.0
Adıyaman,2021-04-01,2628.5
Adıyaman,2021-07-01,2857.0
Adıyaman,2021-10-01,3320.0
Adıyaman,2022-01-01,4305.0
Adıyaman,2022-04-01,5460.0
Adıyaman,2022-07-01,6993.0
Adıyaman,2022-10-01,8475.0
Adıyaman,2023-01-01,8795.0
Adıyaman,2023-04-01,10000.0
Adıyaman,2023-07-01,12879.0
Adıyaman,2023-10-01,14706.0
Adıyaman,2024-01-01,13533.5
Adıyaman,2024-04-01,17037.0
Adıyaman,2024-07-01,16429.0
Adıyaman,2024-10-01,17569.0
Adıyaman,2025-01-01,19444.0
Adıyaman,2025-04-01,19608.0
Adıyaman,2025-07-01,20000.0
Adıyaman,2025-10-01,22293.0
Adıyaman,2026-01-01,22743.0
Adıyaman,2026-04-01,25000.0
Afyonkarahisar,2013-01-01,1034.0
Afyonkarahisar,2013-04-01,1042.0
Afyonkarahisar,2013-07-01,1111.0
Afyonkarahisar,2013-10-01,1027.0
Afyonkarahisar,2014-01-01,1099.0
Afyonkarahisar,2014-04-01,1096.0
Afyonkarahisar,2014-07-01,1119.0
Afyonkarahisar,2014-10-01,1182.0
Afyonkarahisar,2015-01-01,1214.0
Afyonkarahisar,2015-04-01,1239.0
Afyonkarahisar,2015-07-01,1328.5
Afyonkarahisar,2015-10-01,1315.5
Afyonkarahisar,2016-01-01,1398.0
Afyonkarahisar,2016-04-01,1359.0
Afyonkarahisar,2016-07-01,1446.0
Afyonkarahisar,2016-10-01,1488.0
Afyonkarahisar,2017-01-01,1481.0
Afyonkarahisar,2017-04-01,1527.0
Afyonkarahisar,2017-07-01,1524.0
Afyonkarahisar,2017-10-01,1603.0
Afyonkarahisar,2018-01-01,1591.0
Afyonkarahisar,2018-04-01,1731.0
Afyonkarahisar,2018-07-01,1682.0
Afyonkarahisar,2018-10-01,1661.0
Afyonkarahisar,2019-01-01,1762.0
Afyonkarahisar,2019-04-01,1726.0
Afyonkarahisar,2019-07-01,1907.0
Afyonkarahisar,2019-10-01,1875.0
Afyonkarahisar,2020-01-01,2000.0
Afyonkarahisar,2020-04-01,2188.0
Afyonkarahisar,2020-07-01,2222.0
Afyonkarahisar,2020-10-01,2328.0
Afyonkarahisar,2021-01-01,2368.0
Afyonkarahisar,2021-04-01,2625.5
Afyonkarahisar,2021-07-01,2872.0
Afyonkarahisar,2021-10-01,3294.5
Afyonkarahisar,2022-01-01,4101.0
Afyonkarahisar,2022-04-01,5814.0
Afyonkarahisar,2022-07-01,7443.0
Afyonkarahisar,2022-10-01,8661.0
Afyonkarahisar,2023-01-01,10909.0
Afyonkarahisar,2023-04-01,12381.0
Afyonkarahisar,2023-07-01,14700.0
Afyonkarahisar,2023-10-01,16800.0
Afyonkarahisar,2024-01-01,19718.0
Afyonkarahisar,2024-04-01,20710.5
Afyonkarahisar,2024-07-01,22002.5
Afyonkarahisar,2024-10-01,23256.0
Afyonkarahisar,2025-01-01,25058.0
Afyonkarahisar,2025-04-01,26937.5
Afyonkarahisar,2025-07-01,28740.5
Afyonkarahisar,2025-10-01,30874.0
Afyonkarahisar,2026-01-01,33333.0
Afyonkarahisar,2026-04-01,33636.0
Aksaray,2013-01-01,863.0
Aksaray,2013-04-01,882.0
Aksaray,2013-07-01,912.5
Aksaray,2013-10-01,903.0
Aksaray,2014-01-01,929.0
Aksaray,2014-04-01,924.0
Aksaray,2014-07-01,953.0
Aksaray,2014-10-01,1000.0
Aksaray,2015-01-01,1000.0
Aksaray,2015-04-01,1025.0
Aksaray,2015-07-01,1064.0
Aksaray,2015-10-01,1075.0
Aksaray,2016-01-01,1077.0
Aksaray,2016-04-01,1125.0
Aksaray,2016-07-01,1168.0
Aksaray,2016-10-01,1250.0
Aksaray,2017-01-01,1286.0
Aksaray,2017-04-01,1321.0
Aksaray,2017-07-01,1328.0
Aksaray,2017-10-01,1429.0
Aksaray,2018-01-01,1497.0
Aksaray,2018-04-01,1539.5
Aksaray,2018-07-01,1574.0
Aksaray,2018-10-01,1626.5
Aksaray,2019-01-01,1690.0
Aksaray,2019-04-01,1656.0
Aksaray,2019-07-01,1771.5
Aksaray,2019-10-01,1831.5
Aksaray,2020-01-01,1992.0
Aksaray,2020-04-01,2148.5
Aksaray,2020-07-01,2177.0
Aksaray,2020-10-01,2291.0
Aksaray,2021-01-01,2460.5
Aksaray,2021-04-01,2616.0
Aksaray,2021-07-01,2913.0
Aksaray,2021-10-01,3562.0
Aksaray,2022-01-01,4762.0
Aksaray,2022-04-01,6000.0
Aksaray,2022-07-01,7442.5
Aksaray,2022-10-01,8667.0
Aksaray,2023-01-01,10680.0
Aksaray,2023-04-01,12742.5
Aksaray,2023-07-01,15000.0
Aksaray,2023-10-01,16438.0
Aksaray,2024-01-01,16827.0
Aksaray,2024-04-01,19667.0
Aksaray,2024-07-01,19802.0
Aksaray,2024-10-01,21875.0
Aksaray,2025-01-01,24359.0
Aksaray,2025-04-01,25313.5
Aksaray,2025-07-01,27368.0
Aksaray,2025-10-01,29228.0
Aksaray,2026-01-01,32258.0
Aksaray,2026-04-01,34066.0
Amasya,2013-01-01,943.0
Amasya,2013-04-01,959.0
Amasya,2013-07-01,1000.0
Amasya,2013-10-01,1038.0
Amasya,2014-01-01,1022.0
